"COD_LOJA","NOME_LOJA","PERIODO","COD_PRODUTO","NOME_PRODUTO","Qtd Ano Ant","Valor Ano Ant","Qtd Atual","Valor Atual","Variacao (%)"
C20410,SUPER MUFFATO FILIAL 1071 - VAREJO ,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,67.00,4550.28,100.00
C20412,SUPER MUFFATO FILIAL 1073 - CASH,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,13.00,975.00,100.00
C20412,SUPER MUFFATO FILIAL 1073 - CASH,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,6.00,326.16,100.00
C20412,SUPER MUFFATO FILIAL 1073 - CASH,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,19.00,1301.16,100.00
C20413,SUPER MUFFATO FILIAL 1084 - CASH,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,10.00,750.00,100.00
C20413,SUPER MUFFATO FILIAL 1084 - CASH,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,5.00,271.80,100.00
C20413,SUPER MUFFATO FILIAL 1084 - CASH,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,15.00,1021.80,100.00
C20414,SUPER MUFFATO FILIAL 1097 - CASH ,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,12.00,900.00,100.00
C20414,SUPER MUFFATO FILIAL 1097 - CASH ,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,4.00,217.44,100.00
C20414,SUPER MUFFATO FILIAL 1097 - CASH ,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,16.00,1117.44,100.00
C20415,SUPER MUFFATO FILIAL 1100 - VAREJO,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,24.00,1800.00,100.00
C20415,SUPER MUFFATO FILIAL 1100 - VAREJO,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,9.00,489.24,100.00
C20415,SUPER MUFFATO FILIAL 1100 - VAREJO,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,33.00,2289.24,100.00
C20416,SUPER MUFFATO FILIAL 1099 - VAREJO,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,37.00,2775.00,100.00
C20416,SUPER MUFFATO FILIAL 1099 - VAREJO,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,12.00,652.32,100.00
C20416,SUPER MUFFATO FILIAL 1099 - VAREJO,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,49.00,3427.32,100.00
C20417,SUPER MUFFATO FILIAL 1098 - VAREJO,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,30.00,2250.00,100.00
C20417,SUPER MUFFATO FILIAL 1098 - VAREJO,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,12.00,652.32,100.00
C20417,SUPER MUFFATO FILIAL 1098 - VAREJO,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,42.00,2902.32,100.00
C20418,SUPER MUFFATO FILIAL 1107 - CASH,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,8.00,600.00,100.00
C20418,SUPER MUFFATO FILIAL 1107 - CASH,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,8.00,434.88,100.00
C20418,SUPER MUFFATO FILIAL 1107 - CASH,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,16.00,1034.88,100.00
C20420,SUPER MUFFATO FILIAL 1108 - VAREJO ,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,19.00,1425.00,100.00
C20420,SUPER MUFFATO FILIAL 1108 - VAREJO ,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,11.00,597.96,100.00
C20420,SUPER MUFFATO FILIAL 1108 - VAREJO ,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,30.00,2022.96,100.00
C20421,SUPER MUFFATO FILIAL 1151 - CASH - OLIMPIA,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,20.00,1500.00,100.00
C20421,SUPER MUFFATO FILIAL 1151 - CASH - OLIMPIA,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,10.00,543.60,100.00
C20421,SUPER MUFFATO FILIAL 1151 - CASH - OLIMPIA,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,30.00,2043.60,100.00
C20422,SUPER MUFFATO FILIAL 1154 - CASH ,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,11.00,825.00,100.00
C20422,SUPER MUFFATO FILIAL 1154 - CASH ,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,7.00,380.52,100.00
C20422,SUPER MUFFATO FILIAL 1154 - CASH ,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,18.00,1205.52,100.00
C20423,SUPER MUFFATO FILIAL - 1130 CASH ,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,30.00,2250.00,100.00
C20423,SUPER MUFFATO FILIAL - 1130 CASH ,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,12.00,652.32,100.00
C20423,SUPER MUFFATO FILIAL - 1130 CASH ,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,42.00,2902.32,100.00
ZZZ,---->> RESUMO GERAL DA REDE (POR PRODUTO),jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,667.00,43221.60,1396.00,97514.98,125.62
ZZZ,---->> RESUMO GERAL DA REDE (POR PRODUTO),jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,204.00,9669.60,735.00,39631.94,309.86
ZZZZ,========>> TOTAL GERAL ABSOLUTO <<========,jan-fev 2025 e jan-fev 2026,"","",871.00,52891.20,2131.00,137146.92,159.30
